Open,High,Low,Close,Volume,Date
24.5148,24.5847,24.4274,24.4624,106000,1993-04-22
24.4798,24.5672,24.2003,24.2702,62600,1993-04-25
24.2352,24.5323,24.2352,24.5323,156800,1993-04-26
24.4973,24.5497,24.4449,24.4798,85900,1993-04-27
24.5323,24.5847,24.3925,24.5847,85000,1993-04-28
24.6721,24.7594,24.6196,24.6196,88500,1993-04-29
24.6546,24.7769,24.5497,24.7769,80500,1993-05-02
24.8293,24.9516,24.7943,24.8642,149100,1993-05-03
24.8642,25.0215,24.8642,24.9341,109000,1993-05-04
24.8992,24.9167,24.8293,24.8468,54700,1993-05-05
24.8642,24.8642,24.7594,24.7943,68000,1993-05-06
24.8293,24.9866,24.8293,24.8468,113900,1993-05-09
24.8468,24.9516,24.7769,24.9516,42600,1993-05-10
24.8468,24.9341,24.8468,24.9167,31000,1993-05-11
24.8118,24.8118,24.6022,24.6196,129100,1993-05-12
24.6196,24.6895,24.5847,24.6022,63500,1993-05-13
24.6721,24.6895,24.5672,24.6895,34000,1993-05-16
24.707,24.7245,24.5847,24.6721,105200,1993-05-17
24.6721,25.1788,24.5148,25.1788,50200,1993-05-18
25.1788,25.2486,25.1264,25.2486,98200,1993-05-19
25.2661,25.3011,25.004,25.0215,221400,1993-05-20
25.0739,25.2137,25.0739,25.1264,30500,1993-05-23
25.2312,25.2312,25.1788,25.1788,191800,1993-05-24
25.2486,25.5108,25.2312,25.4933,102400,1993-05-25
25.5282,25.5282,25.371,25.4059,53800,1993-05-26
25.3884,25.3884,25.1613,25.2836,79100,1993-05-27
25.371,25.6156,25.336,25.5282,28300,1993-05-31
25.4583,25.5807,25.3535,25.4933,20300,1993-06-01
25.4409,25.4409,25.3535,25.4059,21600,1993-06-02
25.336,25.336,25.2137,25.3185,32000,1993-06-03
25.371,25.371,25.2312,25.2312,121400,1993-06-06
25.1613,25.1613,25.004,25.004,104500,1993-06-07
25.0914,25.0914,25.0914,25.0914,43300,1993-06-08
25.0739,25.1264,25.0215,25.1089,17900,1993-06-09
25.1963,25.2486,25.1089,25.2137,647400,1993-06-10
25.2486,25.2661,25.1788,25.1788,64200,1993-06-13
25.2137,25.2312,25.1264,25.1264,142400,1993-06-14
25.1264,25.1788,25.0565,25.1788,330900,1993-06-15
25.2312,25.2661,25.1788,25.2661,37400,1993-06-16
25.2531,25.2531,25.0595,25.0595,58500,1993-06-17
25.1299,25.1299,25.0771,25.1123,29300,1993-06-20
25.1475,25.1475,25.0947,25.1299,137500,1993-06-21
25.1299,25.1299,24.9011,24.9011,227600,1993-06-22
24.9715,25.2355,24.9715,25.2355,243700,1993-06-23
25.2179,25.2179,25.2179,25.2179,44800,1993-06-24
25.3411,25.4995,25.3059,25.4995,439900,1993-06-27
25.4643,25.4643,25.3411,25.3763,207500,1993-06-28
25.4115,25.4643,25.3411,25.3763,437600,1993-06-29
25.4115,25.4115,25.2707,25.3059,605700,1993-06-30
25.2179,25.2355,25.0771,25.1651,285400,1993-07-01
25.1299,25.2003,24.8659,24.9011,246400,1993-07-05
24.8836,25.0067,24.8836,24.9715,343700,1993-07-06
24.9892,25.3059,24.954,25.2531,248200,1993-07-07
25.2531,25.3235,25.2003,25.3235,378200,1993-07-08
25.2883,25.3235,25.2531,25.3059,373700,1993-07-11
25.3235,25.3939,25.1475,25.2883,389600,1993-07-12
25.3059,25.4467,25.2883,25.3763,617300,1993-07-13
25.3587,25.3587,25.2179,25.2707,443800,1993-07-14
25.2883,25.3059,25.1651,25.2003,216400,1993-07-15
25.2003,25.2003,25.1123,25.1827,188200,1993-07-18
25.1651,25.2531,25.0419,25.2531,68500,1993-07-19
25.2179,25.2355,25.1475,25.2355,142700,1993-07-20
25.2003,25.2355,25.0595,25.0595,632400,1993-07-21
25.1123,25.1827,25.0947,25.1827,286200,1993-07-22
25.2531,25.3763,25.2531,25.3235,121300,1993-07-25
25.3411,25.3587,25.2179,25.3059,92800,1993-07-26
25.2531,25.2531,25.2531,25.2531,30800,1993-07-27
25.3059,25.4643,25.2707,25.3939,331000,1993-07-28
25.3939,25.3939,25.2179,25.2531,75300,1993-07-29
25.2883,25.4115,25.2883,25.3235,41300,1993-08-01
25.3763,25.4467,25.2531,25.3411,81600,1993-08-02
25.3411,25.3411,25.3411,25.3411,434000,1993-08-03
